Timestamp,Full Name,Name Pronunciation,Show(s),Role,Bio
4/8/2025 18:04:27,David Murgo,Day-Vid Mer-Go (accent first syllable in both),Townies & Dragons,Ronnie,"David has been cast as Ronny in ""Townies and Dragons: A Barrel Full of Peril"". He previously played the roles of Dr. Kemp and Mariner in “Invisible Man” in PMRP’s “Unseen Worlds of H.G.Wells. He has performed as Kris Kringle in Colonial Radio Players (ccp1961.org) radio/stage production of ""Miracle on 34th Street,"" joined them again for their 2023 production of ""It's a Wonderful Life"" in a variety of roles, including Nick the Bartender, Joseph the Angel, Henry Potter, and others, and played seven+ characters in their 2024 production of “Miracle on 34th Street.” He looks forward to future performances with PMRP. This one's for Em, Rachel, and Chris!"
4/9/2025 18:03:03,Theresa Griffin,Tuh-ree-suh Griffin,Dangerous Game,Zarova,"Theresa is pleased to be making her debut with PMRP! Favorite past performances include Lyubov in “The Cherry Orchard,” and Big Stone in Eurydice, both with Theatre@First. Off-stage, Theresa is a medical writer and childless cat lady."
4/9/2025 20:00:07,Michael McAfee,MI-kul MAC-uh-fee,Townies & Dragons,Writer/Director,"Michael McAfee has been active with the PMRP since the very first show, and he has served in various capacities ever since.  He also helps backstage with the ""Mrs. Hawking"" series of plays, and is active on the local poetry open mic circuit.  By day, he is a software quality engineer, but is always on the lookout for awesome projects to contribute to."
4/10/2025 12:11:09,Nick Henry,Nick HEN-ry,Townies & Dragons,"Omar, Understudy Sully","This is Nick's first PMRP show, and first time on stage since high school over 20 years ago. It's much better than other things he could be doing during his mid-life crisis."
4/10/2025 15:05:57,Brian Rust,Bri-an Rust,Captain Bellamy,Dranger,"Brian is a writer, actor and physical comedian previously seen as Uncle Jacob the Dancing Zombie in Hopkinton's ""Deadwoodville.""  His audio plays are sometimes heard on the podcast ""Stories Found"" and he recommends the show highly for this and other reasons (including their love of cryptids.)"
4/13/2025 1:09:31,Andrew Croteau,Andrew Crow-toe,Captain Bellamy,Wolfie,"This is Andrew's second show with PMRP! Andrew loves all things music, theater, and the arts and works as a mechanical engineer by day, He is also the bassist and vocalist for local band Good Day for Greg. He's positively thrilled to conquer the high seas as Wolfie in this production!"
4/14/2025 18:34:21,Maeve McCluskey,MAYv,Captain Bellamy,Captain Bonny Bellamy,"Maeve is thrilled to be returning to PMRP for their second show! You can find her acting out around Greater Boston - previous roles include Fruma Sarah in Fiddler on the Roof (Needham Community Theatre), the Baker in Into the Woods (Colonial Chorus Players), and Julia Wolfe/Inspector Guild in the 13th Mystery with PMRP. They are a student of animation at MassArt. "
4/15/2025 20:26:20,Joev Dubach,Joe-Ev Doo-Bock,Captain Bellamy,Morrie,"Joev is brogueing and boying in his thirtieth show with the PMRP. You can join Joev for improvisational free fitness hilarity with November Project Boston ( https://november-project.com/boston/ ) any time, as long as that time is MWF 6:30am. Just show up!"
4/16/2025 0:28:40,Naomi Ibasitas,Nay-OH-mee ee-bah-SEE-tahs,Townies & Dragons,"Sulinor, the Mighty","Naomi Ibasitas (Sully, Barrel Full of Peril) is an actor, stage manager, and director within the Boston fringe theatre community.  She is excited to be back on the PMRP stage!  Previously you may have seen her as Nora Charles in The Thin Man, Lieutenant Sulu in Gender-Swapped Star Trek, Lupe in La Siguanaba, or as Tiger Lily in Peter Pan! 

Non-PMRP acting credits include Disenchanted! (Mulan/Pocahontas) with the Walpole Footlighters, the Annual Asian American Playwrights Collective Festival 2024 (various roles), and 7 Rooms: The Masque of the Red Death (Misha in Toasting Man) with Flat Earth Theatre. She is also very involved in the Mrs. Hawking play series playing various roles (please go check it out on YouTube!). Off the stage, she is a character performer with Spark a Dream Princess Parties! "
4/17/2025 18:44:14,Arturo Lichauco,Ar-TOO-Row Lee-CHOW-Co,Captain Bellamy,Foley,"This is Arturo's first PMRP show and first time doing foley work. He has experience acting in several shows in college more than a decade ago, and he's happy to be performing again!"
4/19/2025 14:18:28,Sid Hackney,Sid HACK-nee,N/A (sound design; house manager; etc),Stage Manager,"Sid has been peripherally involved with PMRP for a few years but this is their first time being involved in a production from start to finish after being tricked into it by the Foley coordinator, who happens to be their roommate. When not herding actors, Sid spends their time herding their two elderly cats and herding themself toward finishing their bachelor's degree a mere eleven and a half years behind schedule."
4/19/2025 14:28:17,Racer Soares,Ray-sir Soar-es,Townies & Dragons,Foley,"Racer Soares, 24, resides in Arlington and has been involved in local theatre and music for over fifteen years. This is his 3rd show with PMRP doing foley arts. Racer has recently graduated from UMass Lowell for  Composition for New Media. When he isn’t playing in a band, tutoring, or doing camera work. He enjoys grilling on the bar-be-que and walking his dog, Ringo. Racer would like to thank his family for their support. "
4/19/2025 15:19:45,Meg Wickham,Mehg Wickum,N/A (sound design; house manager; etc),Sound Board Operator ,Meg is a weird kid.
4/19/2025 16:32:04,Jeremy Holstein,Hol-Steen,N/A (sound design; house manager; etc),Co-Producer/Sound Design/Graphic Design,"Jeremy has been working with the PMRP for over a decade now, and is their current Artistic Director.  He's currently preparing for his 12th year of the PMRP Summer Mysteries (come out and audition!)"
4/19/2025 18:43:15,Jacob Sommer,That Guy,N/A (sound design; house manager; etc),House Assistant,"Despite his current prison sentence for five too many Presidential impersonations, Jacob Sommer is pleased to be helping serve the PMRP community as assistant for the House. When not serving time for silly voices, Jacob is a husband and father who serves the wider state community, studies part-time for his Master’s degree in public administration, ponders politics and policy, plays games, and watches perhaps too much anime. He looks forward to earning his degree and having more time to assist or perform in shows. "
4/20/2025 22:41:16,Terry Bernard,TEH-ree BUR-nard,Dangerous Game,Foley,"This is Terry’s first production with PMRP, and a return to theater after about twenty years. He has wanted to learn Foley for quite some time and is grateful to PMRP for the opportunity! "
4/21/2025 11:41:41,Tori Queeno,TOR-ee KWEE-noh,Dangerous Game,Foley,"Tori is thrilled to be working on their 20th production with PMRP, with Dangerous Adventures marking their first forray into producing. They would like to thank the entire foley team for their dedication and hard work, Jaimie Carlson for writing such a foley-loving script, their partner (Jon Mendoza) for putting up with their theater-induced stress, their best friend (Sid Hackney) for allowing themself to be dragged into PMRP, and their beautiful and evil cat, Persephone, for always being there to bite knees."
4/21/2025 11:41:41,Tori Queeno,TOR-ee KWEE-noh,N/A (sound design; house manager; etc),"Producer, Foley Coordinator",
4/21/2025 12:06:59,Jonathan Mendoza,JAW-nuh-than men-DOH-zuh,Dangerous Game,Director,"Jonathan Mendoza is a Massachusetts-based actor/director, returning for his second time directing and his fifth overall outing with the Post-Meridian Radio Players. He made his directorial debut in 2024's ""The Unseen Worlds of H. G. Wells,"" as director for ""The Invisible Man"" and assistant director for ""The Stolen Body."" Jonathan is excited to return to directing for PMRP, and is pleasantly surprised to have been invited back after having contributing practically nothing but aggressively yowling in what passed for direction during a previous WGBH spotlight, which he thought everyone else was quite eloquent and lovely in."
4/21/2025 13:47:54,Jay Sekora,JAY suh-CORE-uh,N/A (sound design; house manager; etc),Sound engineer,"Jay Sekora (sound engineer) has worked with PMRP as an actor and director as well as working on sound. He directed PMRP’s adaptations of “THEM!”, “Metropolis”, and “Filibus”, and adapted and directed “Night of the Living Dead”. His favorite PMRP acting roles were a drunken astronaut in “Junkyard” and the homicidal narrator in “The Tell-Tale Heart”. And he’s done a lot of sound engineering and other sound-tech work.  He thanks his beloved Mare Freed for getting him back into theater after a long absence, and for a wonderful shared life together."
4/21/2025 15:46:40,Rosie Sentman,Row-zee Sent-Man (pronounced exactly like the words 'sent' and 'man'),Dangerous Game,Whitney,"Rosie Sentman is so excited to be working with PRMP for the first time! They are an actor, voice actor, singer, and all around 'theatre artist', originally from Georgia and now based in Boston. Recently, they performed as M'ling in Theatre@First's adaptation of The Island of Dr. Moreau, 'None Escape'; up next, they will be narrating a second short story for the Escape Artists Foundation's sci-fi podcast magazine, Escape Pod. Find more info or contact them at rosiesentman.com. "
4/22/2025 9:53:21,Emma Picht,Emma (Picked) Picht,Townies & Dragons,"Announcer, Staff 2, Ooze Monster","Emma is delighted to be making her Boston community theatre debut after a long performance hiatus. Originally from Cleveland, OH she is grateful for everyone here in Boston welcoming her with open arms and forgiving the many midwestern goodbyes they are subjected to. "
4/22/2025 11:25:05,Jason Smith,I've never had to explain this one lol ,Captain Bellamy,Mister Bertram,"This is now Jason's third show with PMRP having started with the HG Wells Unseen Worlds. When not on stage he does funny voices in the woods, and talks about Food at great length whether you want him to or not. "
